Target Name,Target Pos X,Target Pos Y,Target Heading,Target Velocity,Power,Distance,Hit
sample.Crazy,320.9560361949328,99.77883640888848,178.38623047496841,8.0,2.0,388.25016336669535,0
sample.Walls,768.5211380951738,568.3173712578985,90.0,8.0,2.0,226.13411478320697,0
sample.Fire,376.06741697291005,437.0364947350674,10.5444147947143,0.0,3.0,77.92578435639103,1
sample.Crazy,593.1180009626429,266.93169912462315,46.386230474968514,8.0,3.0,186.76855194563944,0
sample.SittingDuck,48.30478712231536,255.45959863894248,0.420638173137009,0.0,2.0,492.19296973602405,1
sample.Crazy,624.87785983333,544.2915008271453,195.3862304749686,-8.0,3.0,105.84716562634843,1
sample.SittingDuck,51.00084261250322,252.84167125995964,0.420638173137009,0.0,2.0,445.54222895377427,1
sample.Fire,351.72469177116324,412.8539807069488,40.544414794714406,0.0,3.0,94.65201407534398,0
sample.Walls,767.225405034807,145.28547193184477,180.0,8.0,2.0,299.9914891864827,0
sample.SittingDuck,53.18248758318606,257.1111005911863,0.420638173137009,0.0,2.0,485.48804622254937,0
sample.Fire,319.4788666927263,442.8803147392013,331.13623047496856,0.0,3.0,173.32825661715847,0
sample.Crazy,710.5056791496082,537.2382118313171,251.3862304749686,-8.0,2.0,224.04422431902574,1
sample.Walls,212.7068664307621,38.45986901407073,270.0,8.0,2.0,406.058291973622,0
sample.Fire,336.75427889887817,408.40442864861944,25.386230474968592,0.0,3.0,188.4687337958853,0
sample.Crazy,770.2933245212691,145.69601510967166,316.38623047496867,3.0,2.0,217.14346528089519,1
sample.Walls,29.367641611290253,490.42405735021794,0.0,8.0,2.0,531.7968903453681,0
sample.Crazy,711.9157223283335,377.1722934301179,214.3862304749685,8.0,3.0,148.03843903273312,0
sample.Crazy,703.8520406912742,262.27364384505734,150.3862304749684,8.0,3.0,126.58981457257975,1
sample.Fire,350.39923393787143,391.24704866240336,237.19604949610934,0.0,3.0,128.32688616987025,0
sample.Walls,680.601766214505,548.9980705149451,90.0,8.0,2.0,320.7981445253602,0
sample.Crazy,387.83325140761553,541.2817150949375,223.3862304749685,8.0,2.0,254.88839144069453,0
sample.Fire,402.07518804962405,385.255026236517,265.8879509536281,0.0,3.0,60.504595967844224,0
sample.Walls,764.5479198200767,-10.572268536189426,219.99999999999994,0.0,2.0,464.51232434439356,0
sample.Crazy,390.5504912491866,436.0832120350369,226.38623047496853,-8.0,3.0,157.6448484131576,0
sample.Walls,2.84811357808087,35.29862798583076,329.99999999999994,0.0,2.0,312.26771109257436,0
