Target Name,Target Pos X,Target Pos Y,Target Velocity,Power,Distance,Hit
sample.Walls,31.683881477875275,441.0420154562147,8.0,1.0,527.4127423170346,0
sample.Walls,639.7695820424543,576.0987637352971,8.0,2.0,361.33195790374356,0
sample.Walls,769.94237029404,-1.081690031238736,0.0,2.0,300.79749600828836,0
sample.Walls,9.877666024426617,103.53718531163341,8.0,2.0,478.54586394569606,0
sample.Walls,273.5377190885187,599.9548177351521,8.0,2.0,454.59251454623154,0
sample.Walls,791.1840383665813,295.25262174447374,8.0,2.0,278.68370420585626,0
sample.Walls,148.82895926258504,37.9762675601053,8.0,2.0,322.9076871085116,0
sample.Walls,44.606490202773955,612.2922588948762,0.0,1.0,564.9294008021974,0
sample.Walls,807.0536288339217,559.1614512364315,0.0,2.0,470.29164789258084,0
sample.Walls,540.7327405152166,10.86012377444743,8.0,3.0,190.53753865788306,0
sample.Walls,395.1728318847547,38.45354645049005,8.0,3.0,188.43813793343259,0
sample.Walls,29.311914287948184,432.2133672596101,8.0,2.0,499.1885563664654,0
sample.Walls,637.9556666424804,575.2506279407712,8.0,2.0,337.9283506524,0
sample.Walls,767.9259900004156,-2.057178139266398,0.0,2.0,332.34220424076676,0
sample.Walls,351.3862385865267,26.41311372713966,0.0,2.0,219.22725141347746,0
sample.Corners,537.0279709577954,448.9395678302269,0.0,3.0,88.15833403617106,1
sample.SittingDuck,539.9697674712829,297.07741717764907,0.0,3.0,121.44787897417353,1
sample.Fire,157.28292265358075,533.5316256823742,0.0,2.0,237.11978955437888,1
sample.Corners,532.7744389025515,445.5346108973299,0.0,3.0,75.40292868133716,1
sample.Fire,185.70748724190895,568.9524994195709,0.0,3.0,185.54899656790008,1
sample.Crazy,702.0391455203903,407.60863128533174,8.0,2.0,387.14708382427716,0
sample.Walls,208.95129039137964,22.089657680852156,8.0,2.0,463.0576554221961,0
sample.Fire,156.86526044789383,522.069811526254,0.0,3.0,102.57191047094925,0
sample.Corners,781.7529778533018,420.5571866386209,0.0,2.0,447.6405307040496,1
sample.Walls,28.44660915140682,602.045487909684,0.0,2.0,305.6688419492716,1
sample.Crazy,523.173253420268,568.1770831081927,1.0,2.0,269.0057683273256,1
sample.Fire,84.13478233046817,537.822670993013,0.0,2.0,259.94614127936404,1
sample.Walls,536.9620092348055,566.1108824045665,8.0,2.0,337.4462692579177,0
sample.Fire,43.47240293556541,511.1113510029806,0.0,2.0,273.7087187881968,1
sample.Crazy,256.07689416111384,457.8039271099563,8.0,3.0,141.31972082457324,1
sample.Crazy,46.11006841273987,293.3435043139612,8.0,3.0,97.01594836657189,1
sample.Walls,793.3084582889151,335.3546107480517,8.0,1.0,615.4545276778395,0
sample.Fire,93.49644746954719,475.7028277719586,0.0,2.0,266.46095041339925,1
sample.Walls,430.4966783178423,-1.0374825673685848,8.0,2.0,299.19122677048904,0
sample.Fire,139.19079310167032,469.23878382382435,0.0,3.0,193.8401757296371,0
sample.Walls,86.37585179750782,504.0178881087894,8.0,2.0,393.7608370912921,0
sample.Walls,438.88835647002236,571.1137647499102,8.0,2.0,483.6461608748241,0
sample.Walls,802.1252821502696,375.500329564245,8.0,2.0,461.2922846077469,0
sample.Walls,318.46349822866273,69.01801820689764,8.0,2.0,293.8010573583688,1
sample.Walls,16.606311396799242,237.650316964589,8.0,1.0,666.1592782518192,0
sample.Walls,197.4274786172611,616.9877003926658,8.0,1.0,535.3483254090536,0
sample.Walls,768.1774954163373,396.6097143735807,8.0,2.0,228.52161352641477,0
sample.Walls,671.4924560498105,-6.71261748889583,8.0,1.0,596.3495760982166,0
sample.Walls,-14.580304892494382,29.82558928857975,0.0,2.0,478.15010337602473,0
sample.Walls,98.96090102450623,575.0793917527426,8.0,3.0,199.58195811275837,0
sample.Walls,228.81925306562945,555.9214212634321,8.0,2.0,212.48734762157375,0
sample.Walls,810.0249031653009,533.5084683118807,0.0,1.0,793.4548838341544,0
sample.Walls,781.2390504727387,-29.18981638178981,0.0,1.0,665.6500822824171,0
sample.Walls,20.426142924484168,72.7040879933638,0.0,2.0,337.9874316937783,0
sample.Walls,52.19257191916222,616.3436976467514,0.0,1.0,677.94380888711,0
sample.Walls,703.6795244025784,581.3830518469634,8.0,2.0,465.77042275030504,0
sample.SittingDuck,269.42130749998626,344.4562484903684,0.0,3.0,39.04886661512516,1
sample.Crazy,339.4606153271664,143.73203402391232,8.0,2.0,279.5068740482599,1
sample.Walls,226.41134591031488,364.3274067728087,8.0,3.0,48.1898738518591,0
sample.Fire,282.1156508305585,217.8254827196881,0.0,2.0,242.0543449805662,1
sample.Crazy,641.3569156973427,219.77387121994633,8.0,2.0,354.5301677004987,0
sample.SittingDuck,266.6305110628132,343.3555872135616,0.0,3.0,137.2864956898506,1
sample.Fire,301.35463855185736,186.33422912004352,0.0,2.0,373.5087358393905,1
sample.Crazy,325.2315693267337,322.64050602672853,-8.0,2.0,210.31191957856208,0
sample.SittingDuck,251.17516467039366,321.5104021234506,0.0,2.0,296.46062520305975,1
sample.Walls,17.653520586078145,148.03024061984007,8.0,2.0,375.69224117390326,0
sample.Crazy,338.6414159934982,143.0280805914661,8.0,2.0,349.18894575194355,0
sample.Walls,394.1273044493222,562.2204706963681,8.0,2.0,313.37780626790897,0
sample.Fire,292.12135050813777,229.92514472596488,5.0,2.0,250.70117560247155,1
sample.Crazy,554.6397894393692,480.33951198230807,-8.0,2.0,483.8599553699626,1
sample.Crazy,770.76793673584,507.81728368069366,8.0,1.0,766.9881519672176,0
sample.Walls,19.682750640105866,37.23392782891527,0.0,3.0,110.76377585607241,0
sample.Crazy,563.1554796719948,392.9345926216646,8.0,2.0,481.0888939684834,0
sample.Crazy,505.09295801503185,539.8829455161845,-8.0,1.0,516.831159604557,0
sample.Walls,52.73743482233459,604.0057243354847,1.0,1.0,563.3158833098857,0
sample.Crazy,583.9782998731346,292.8913869748146,8.0,2.0,280.67769782631257,0
sample.Crazy,352.14378932981924,223.30719089779114,8.0,3.0,76.18370625967415,1
sample.Crazy,253.13249469305347,80.17876709558081,-8.0,2.0,205.01439386595928,1
sample.Walls,775.0027263646462,-0.407676078043437,0.0,2.0,261.9172257644266,0
sample.Walls,11.146689732695108,72.56313351047757,6.0,2.0,472.68243732575536,0
sample.Walls,252.60589678392265,600.349888008893,8.0,2.0,494.8119110247245,0
sample.Walls,808.4020339127437,476.06846654957957,8.0,2.0,411.06945063835514,0
sample.Walls,488.9622492845434,31.56374512863789,8.0,2.0,292.3878253430976,0
sample.SittingDuck,188.79215228143576,383.13207279835405,0.0,3.0,92.80037634944368,1
sample.Corners,447.596148313599,522.9342408104701,8.0,3.0,120.36029411648722,0
sample.Fire,709.2950790496957,99.56511802642154,0.0,2.0,448.76831842281365,1
sample.SittingDuck,190.65545877555547,385.46773280721237,0.0,3.0,125.91459114077401,1
sample.Walls,77.15706080152677,34.43728492492528,8.0,2.0,431.6992249448316,0
sample.Crazy,263.94556816555024,422.4706290375439,6.0,3.0,61.023224160668576,1
sample.Fire,682.7744192148291,77.14764344991721,-4.0,2.0,378.34990134898976,0
sample.Walls,23.26343446296096,384.6585803350958,0.0,2.0,317.3973673785719,0
sample.SittingDuck,215.98795734543472,385.1338249304759,0.0,3.0,151.55975874260824,1
sample.Fire,714.7541798741738,108.01458325381407,0.0,2.0,346.69874278677486,0
sample.Walls,18.252577949873285,253.2985048848069,8.0,2.0,312.2458069949164,0
sample.Crazy,426.3469095364453,301.2535581091452,0.0,3.0,43.52141382309424,0
sample.Crazy,474.2482393879319,215.02701603524815,-8.0,3.0,105.83478364875369,0
sample.Walls,25.162898324061103,401.6564553613706,8.0,2.0,278.28007522654065,0
sample.Crazy,780.3064024349569,464.5774191180043,7.0,2.0,494.062016100847,0
